title,price,cat_1,cat_2,cat_3,caracteristics,img_ref,target,dealer
Беговая дорожка SOLE F65,169900,Беговые дорожки,Электрические беговые дорожки,SOLE,"Тип дорожки:для домашнего использования Скорость:1-20 км/ч Мощность двигателя:3,25 л.с. DC Беговое полотно:2-х слойное, усиленное Размер бегового полотна (Дх Ш):152 х 56 см.Регулировка угла наклона:электрическая Наклон бегового полотна:0-15%Дека:18 мм с системой шумопоглащения Система амортизации:Cushion Flex Shock Absorption Измерение пульса:сенсоры / кардиопояс (в комплекте)Консоль:7.5"" LCD Показания консоли:скорость, наклон, время, расстояние, истраченные калории, пульс, темп Кол-во программ:10 программ (6 стандартных, 2 пользовательские, 2 программы Ч С С)Интеграция и Мультимедиа:MP3, Bluetooth-динамики, Bluetooth / Мобильное приложение, поддерживает виртуальный ландшафт Kinomap, зарядка USB Складывание:гидравлическая Easy Access Folding Габариты (Дх Шх В):в рабочем состоянии 209 х 94 х 145 см.; в упаковке 220 х 98 х 44 см.Вес:нетто 119 кг.; брутто 131 кг.Максимальный вес пользователя:160 кг.Дополнительные характеристики:транспортировочные ролики, компенсаторы неровностей пола, вентилятор, держатель для бутылки Гарантия:2 года Производитель:DYACO International INC, С Ш А",images/begovye_dorozhki/1_sportdoma_19512.jpeg,begovye_dorozhki,sportdoma
Беговая дорожка OXYGEN M-CONCEPT SPORT,109990,Беговые дорожки,Электрические беговые дорожки,OXYGEN,"Тип дорожки:электрическая Скорость:1 - 14 км/ч Мощность двигателя:2.25 л/с Fuji Electric (постоянный ток)Пиковая мощность двигателя:4.05 л/с Беговое полотно:1.6 мм многослойное коммерческое Habasit NVT-256 Размер бегового полотна (Дх Ш):130х48 см Регулировка угла наклона:автоматическая Наклон бегового полотна:0 - 12°Дека:18 мм, парафинированная (специальные сертификаты технических и экологических директив EO/ROHS (Е С) и 4 STAR GRADE F (Япония))Система амортизации:6 профессиональных эластомеров VCSTMИзмерение пульса:сенсорные датчики, беспроводной приемник Консоль:буквенно-цифровая акриловая LCD панель с сенсорными клавишами управления Показания консоли:время, скорость, дистанция, калории, пульс, угол наклона Кол-во программ:15 (в т.ч. пульсозависимые)Спецификации программ:ручной режим, 8 тренировочных профилей, 3 пользовательские, 3 пульсозависимые Специальные программные возможности:нет Многоязычный интерфейс:английский Интеграция и Мультимедиа:воспроизведение аудио файлов, встроенные динамики; AUX, USB Питание:сеть 220 Вольт Складывание:ультракомпактное быстрое складывание (smartFOLDTM)Габариты (Дх Шх В):145х75х124 см.; в сложенном виде - 30(35)х75х145 см Вес:57 кг Максимальный вес пользователя:120 кг Рама:одинарная, ультратонкая Дополнительные характеристики:вентилятор - нет; транспортировочные ролики - легкое перемещение в двух проекциях (smartMOVETM); компенсаторы неровности пола - есть; энергосбережение - есть Гарантия:5 лет Производитель:Neotren GmbH, Германия Страна изготовления:К Н Р",images/begovye_dorozhki/2_sportdoma_17451.jpeg,begovye_dorozhki,sportdoma
Беговая дорожка OXYGEN FITNESS RUNUP GROOVE A,63990,Беговые дорожки,Электрические беговые дорожки,OXYGEN,"Тип дорожки:домашняя, электрическая Скорость:1 - 16 км/ч Мощность двигателя:2.5 л/с Fuji Electric (компактный бесщеточный мотор)Пиковая мощность двигателя:4.4 л.с Беговое полотно:многослойное, антискользящее Размер бегового полотна (Дх Ш):122х45 см Регулировка угла наклона:нет Наклон бегового полотна:фиксированный наклон Дека:М Д Ф Система амортизации:6 профессиональных эластомеров VCSTMИзмерение пульса:сенсорные датчики на поручнях Консоль:LED дисплей с белой и цветной индикацией Показания консоли:время, скорость, дистанция, калории, пульс, жироанализатор (Body Fat)Кол-во программ:43 Спецификации программ:быстрый старт, целевые программы обратного отсчета по времени, дистанции, расходу калорий, 36 предустановленных программ, жироанализатор Специальные программные возможности:нет Многоязычный интерфейс:английский Интеграция и Мультимедиа:подключение смартфона/планшета по Bluetooth для проигрывания музыки через встроенную аудиосистему; Bluetooth для подключения к популярным коучинговым мобильным приложениям для смартфонов AnyrunTM, KinomapTM, ZwiftTMПитание:сеть 220 Вольт Складывание:есть Габариты (Дх Шх В):в рабочем состоянии 152 х 72 х 125 см; в сложенном виде - 96 х 76 х 125 см; в упаковке 152 х 73 х 15,8 см Вес:нетто 48 кг.; брутто 54 кг.Максимальный вес пользователя:120 кг Рама:одинарная, ультратонкая Дополнительные характеристики:вентилятор - нет; транспортировочные ролики - есть; компенсаторы неровности пола - есть; энергосбережение - есть Гарантия:5 лет Производитель:Fitathlon Group (Германия)Страна изготовления:К Н Р",images/begovye_dorozhki/3_sportdoma_22172.jpeg,begovye_dorozhki,sportdoma
Беговая дорожка UNIX R-280,39890,Беговые дорожки,Электрические беговые дорожки,UNIX,"Тип дорожки:для домашнего использования Скорость:0.8 – 10 км/ч Мощность двигателя:1.25 л.с. Shlümdenger Electric (постоянный ток DC)Пиковая мощность двигателя:1.75 л.с.Беговое полотно:двухслойное антискользящее покрытие (толщина 1.6 мм)Размер бегового полотна (Дх Ш):108 х 41 см Дека:14 мм.Система амортизации:4 плоских эластомеров, 2 амортизирующих суппорта NANO Elastic® (снижают нагрузку на позвоночник и суставы)Измерение пульса:нет Консоль:стикер (4 окна), голубая подсветка (LED дисплей)Показания консоли:время, скорость, дистанция, калории Кол-во программ:нет Интеграция и Мультимедиа:Bluetooth, 2 встроенных динамика Питание:сеть 220 Вольт Складывание:есть, компактное Габариты (Дх Шх В):в рабочем состоянии 1300 х 730 х 1030 мм.; в сложенном 1300 х 730 х 140 мм.; в упаковке 1490 x 730 x 170 мм.Вес:нетто 32 кг.Максимальный вес пользователя:110 кг.Рама:особопрочная с двухслойной покраской Дополнительные характеристики:транспортировочные ролики, подставка под планшет, пульт Д У, смазка для бегового полотна, электрическая система распределения смазки Гарантия:2 года + 3 года на раму Производитель:UNIXFITTMСтрана изготовления:К Н Р",images/begovye_dorozhki/4_sportdoma_19803.jpeg,begovye_dorozhki,sportdoma
Беговая дорожка CardioPower S350,95900,Беговые дорожки,Электрические беговые дорожки,CardioPower,"Тип дорожки:для домашнего использования Скорость:0.8-18 км/ч Мощность двигателя:3 л.с. DC (постоянной мощности)Размер бегового полотна (Дх Ш):140 х 46 см Регулировка угла наклона:автоматическая Наклон бегового полотна:0 – 15%Дека:MDF 15 мм Система амортизации:система эластомеров Air Cushion M Измерение пульса:сенсорные датчики на поручнях / кардиопояс (опция)Консоль:TFT дисплей, диагональю 10,1’ o 1024 х 600 High Resolution, сенсорный Touch Screen Кол-во программ:36 программ Спецификации программ:3 программы обратного отсчета, 3 программы активной виртуальной тренировки, 6 пользовательских настроек, 1 фитнесс-тест программа, 1 программа для сжигания жира Интеграция и Мультимедиа:программа: The Professional Running Manager (UI); аудио: MP3, WMA, APE, FLAC, ACC, OGG, M4A, 3GPP ; видео: MP4, WMV, H.264, RMVB, AVI Video Files; интернет браузер, USB Интерфейс Питание:сеть 220 Вольт Складывание:гидравлическая SmartFold Габариты (Дх Шх В):в рабочем состоянии 175 х 78,7 х 151 см.; в упаковке 197 х 87 х 36.5 см.Вес:нетто 80 кг.; брутто 89 кг.Максимальный вес пользователя:145 кг Рама:усиленная, стальная Дополнительные характеристики:транспортировочные ролики, держатель для бутылки Гарантия:24 мес.Производитель:CardioPower (Германия)",images/begovye_dorozhki/5_sportdoma_20240.jpeg,begovye_dorozhki,sportdoma
"Беговая дорожка PROXIMA Felicia II, Арт. PROT-221",59990,Беговые дорожки,Электрические беговые дорожки,PROXIMA,"Тип дорожки:для домашнего использования Скорость:0,8-16 км/ч Мощность двигателя:2 л.с. LEESON (С Ш А) /К П Д 97 %Пиковая мощность двигателя:3 л.с.Размер бегового полотна (Дх Ш):126 х 45 см Регулировка угла наклона:автоматическая Наклон бегового полотна:15 уровней Дека:15 мм Система амортизации:есть, многозонная «IDEAL SOFT BALANCE»Измерение пульса:сенсорные датчики Консоль:LCD-дисплей 5”, с синей подсветкой Показания консоли:скорость, время, дистанция, калории, частоту пульса, текущий профиль Кол-во программ:12 предустановленных программ (в т.ч. пульсозависимые, целевые)Интеграция и Мультимедиа:mp3, USB (для воспроизведения музыки)Питание:сеть 220 Вольт (0,6 к Вт/ч)Складывание:гидравлическая система складывания «JUST CLICK»Габариты (Дх Шх В):в рабочем состоянии 167 х 72 х 132 см; в сложенном 95 х 72 х 140 см; в упаковке 169 х 76 х 33 см Вес:нетто 60 кг.; брутто 70 кг.Максимальный вес пользователя:135 кг Рама:высокопрочная сталь Дополнительные характеристики:транспортировочные ролики, компенсаторы неровностей пола Гарантия:2 года (сертификаты CE, RoHS, EN957)Производитель:Proxima Страна изготовления:Китай",images/begovye_dorozhki/6_sportdoma_22180.jpeg,begovye_dorozhki,sportdoma
Беговая дорожка UNIX ST-510T (с углом наклона),32890,Беговые дорожки,Электрические беговые дорожки,UNIX,"Тип дорожки:для домашнего использования Скорость:0,8 - 10 км/ч Мощность двигателя:1.4 л.с. Shlümdenger Electric (переменный ток)Пиковая мощность двигателя:1.75 л.с.Беговое полотно:двухслойное антискользящее покрытие (толщина 1.4 мм)Размер бегового полотна (Дх Ш):110х40 см.Регулировка угла наклона:есть, механическая 3 уровня Наклон бегового полотна:0 - 10%Дека:14 мм.Система амортизации:6 плоских эластомеров (снижают нагрузку на позвоночник и суставы)Измерение пульса:сенсорные датчики на поручнях Консоль:диагональ 2.76 дюйма (7 см), оранжевая подсветка (LCD дисплей)Показания консоли:время, скорость, дистанция, калории, пульс Кол-во программ:12 Спецификации программ:12 тренировочных профилей Интеграция и Мультимедиа:AUX для аудионосителей (провод AUX в комплекте), 2 встроенных динамика Питание:сеть 220 Вольт Складывание:есть, гидравлическая система с функцией Easyhold Габариты (Дх Шх В):в рабочем состоянии 133 x 61 x 103 см.; в сложенном 70 x 61 x 124 см.; в упаковке 144 x 67 x 24 см.Вес:37 кг.; в упаковке 43 кг.Максимальный вес пользователя:110 кг.Рама:особопрочная с двухслойной покраской Дополнительные характеристики:транспортировочные ролики, инструмент для сборки, силиконовая смазка для бегового полотна Гарантия:2 года + 3 года на раму Производитель:UNIXFITTMСтрана изготовления:Китай",images/begovye_dorozhki/7_sportdoma_16650.jpeg,begovye_dorozhki,sportdoma
Беговая дорожка CardioPower T30,57900,Беговые дорожки,Электрические беговые дорожки,CardioPower,"Тип дорожки:для домашнего использования Скорость:1 - 16 км/ч (c шагом регулировки 0.1)Мощность двигателя:2,5 л.с. DC (постоянной мощности)Беговое полотно:1,6 мм.Размер бегового полотна (Дх Ш):130 х 45 см.Регулировка угла наклона:автоматическая Наклон бегового полотна:0 -15%Дека:MDF 18 мм.Система амортизации:система эластомеров Air Cushion M Измерение пульса:сенсорные датчики на поручнях Консоль:7"" LCD с подсветкой Показания консоли:скорость, время, дистанция, калории, пульс, угол наклона Кол-во программ:8 предустановленных программ Специальные программные возможности:функция определения жира BodyFat Интеграция и Мультимедиа:MP3 Питание:сеть 220 Вольт Складывание:гидравлическая система SmartFold Габариты (Дх Шх В):в рабочем состоянии 169x74.5x132 см.; в сложенном 108x74.5x132 см.; в упаковке 176х76х33 см.Вес:58 кг.; в упаковке 66 кг.Максимальный вес пользователя:130 кг.Дополнительные характеристики:транспортировочные ролики, держатель для бутылки, держатель для мобильного телефона/планшета, клавиши быстрой регулировки скорости Гарантия:2 года Производитель:CardioPower(Германия)Страна изготовления:Китай",images/begovye_dorozhki/8_sportdoma_16656.jpeg,begovye_dorozhki,sportdoma
Беговая дорожка SOLE F63,159900,Беговые дорожки,Электрические беговые дорожки,SOLE,"Тип дорожки:для домашнего использования Скорость:1-20 км/ч Мощность двигателя:3,0 л.с. DC Беговое полотно:2-х слойное, усиленное Размер бегового полотна (Дх Ш):152 х 51 см.Регулировка угла наклона:электрическая Наклон бегового полотна:0-15%Дека:18 мм с системой шумопоглащения Система амортизации:Cushion Flex Shock Absorption Измерение пульса:сенсоры / кардиопояс (в комплекте)Консоль:6.5"" LCD Показания консоли:скорость, наклон, время, расстояние, истраченные калории, пульс, темп Кол-во программ:10 программ (6 стандартных, 2 пользовательские, 2 программы Ч С С)Интеграция и Мультимедиа:MP3, Bluetooth-динамики, Bluetooth / Мобильное приложение, поддерживает виртуальный ландшафт Kinomap, зарядка USB Питание:сеть 220 Вольт Складывание:гидравлическая Easy Access Folding Габариты (Дх Шх В):в рабочем состоянии 209 х 89 х 145 см.; в упаковке 220 х 93 х 44 см.Вес:нетто 115 кг.; брутто 127 кг.Максимальный вес пользователя:150 кг.Дополнительные характеристики:транспортировочные ролики, компенсаторы неровностей пола, вентилятор, держатель для бутылки Гарантия:2 года Производитель:DYACO International INC, С Ш А",images/begovye_dorozhki/9_sportdoma_19399.jpeg,begovye_dorozhki,sportdoma
Беговая дорожка SOLE F85,229900,Беговые дорожки,Электрические беговые дорожки,SOLE,"Тип дорожки:для домашнего использования Скорость:1-22 км/ч Мощность двигателя:4,0 л.с. DC Беговое полотно:2-х слойное, усиленное Размер бегового полотна (Дх Ш):152 х 56 см.Регулировка угла наклона:электрическая Наклон бегового полотна:0-15%Дека:18 мм с системой шумопоглащения Система амортизации:Cushion Flex Shock Absorption Измерение пульса:сенсоры / кардиопояс (в комплекте)Консоль:10,1"" TFT дисплей коммерческого уровня Показания консоли:скорость, наклон, время, расстояние, истраченные калории, пульс, темп, диаграмма тренировки Кол-во программ:10 программ (6 стандартных, 2 пользовательские, 2 программы Ч С С)Интеграция и Мультимедиа:MP3, Bluetooth-динамики, Bluetooth / Мобильное приложение, поддерживает виртуальный ландшафт Kinomap, зарядка USB Питание:сеть 220 Вольт Складывание:гидравлическая Easy Access Folding Габариты (Дх Шх В):в рабочем состоянии 211 х 94 х 145 см.; в упаковке 217 х 94 х 44 см.Вес:нетто 136 кг.; брутто 142 кг.Максимальный вес пользователя:182 кг.Дополнительные характеристики:транспортировочные ролики, компенсаторы неровностей пола, вентилятор, держатель для бутылки Гарантия:2 года Производитель:DYACO International INC, С Ш А Страна изготовления:Тайвань",images/begovye_dorozhki/11_sportdoma_19515.jpeg,begovye_dorozhki,sportdoma
